# GENERATED by scripts/generate_dow_cells.py -- DO NOT EDIT.
# design_seed=20260710; defining_relation=I=ABCDE; systems=dynamo_disagg,triton,vllm
# Factor E (burstiness) convention: E=-1 arrival_mode=poisson; E=+1 bursty burst_factor=4.0; E=0 bursty burst_factor=2.5.
# Rows are in schedule order (schedule_position 1..57 = the linear execution order).
schedule_position,system,cell_id,kind,yates_index,A_code,B_code,C_code,D_code,E_code,rate_fraction,prompt_len,max_tokens,prefix_repeat_fraction,shared_prefix_len,arrival_mode,burst_factor,burst_on_seconds,duration_s,warmup_discard_s,calibration_file
1,dynamo_disagg,dow_dynamo_disagg_cp1,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,172800,3600,state/calibration/dow_dynamo_disagg_cp1.json
2,triton,dow_triton_cp1,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,129600,3600,state/calibration/dow_triton_cp1.json
3,vllm,dow_vllm_cp1,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,129600,3600,state/calibration/dow_vllm_cp1.json
4,dynamo_disagg,dow_dynamo_disagg_p12,design,12,1,1,-1,1,-1,0.85,6000,64,0.8,512,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p12.json
5,triton,dow_triton_p02,design,2,1,-1,-1,-1,-1,0.85,512,64,0.0,0,poisson,,,129600,3600,state/calibration/dow_triton_p02.json
6,vllm,dow_vllm_p11,design,11,-1,1,-1,1,1,0.3,6000,64,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p11.json
7,dynamo_disagg,dow_dynamo_disagg_p08,design,8,1,1,1,-1,-1,0.85,6000,1024,0.0,0,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p08.json
8,triton,dow_triton_p16,design,16,1,1,1,1,1,0.85,6000,1024,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p16.json
9,vllm,dow_vllm_p10,design,10,1,-1,-1,1,1,0.85,512,64,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p10.json
10,dynamo_disagg,dow_dynamo_disagg_p10,design,10,1,-1,-1,1,1,0.85,512,64,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p10.json
11,triton,dow_triton_p15,design,15,-1,1,1,1,-1,0.3,6000,1024,0.8,512,poisson,,,129600,3600,state/calibration/dow_triton_p15.json
12,vllm,dow_vllm_p06,design,6,1,-1,1,-1,1,0.85,512,1024,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p06.json
13,dynamo_disagg,dow_dynamo_disagg_p15,design,15,-1,1,1,1,-1,0.3,6000,1024,0.8,512,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p15.json
