run_id,cell_id,indicator,n_samples,slope,slope_ci_lo,slope_ci_hi,mk_z,mk_p_value,lag1_rho,q_value,bh_reject,significant
wosar2026_a1_r01,a1,client.drop_rate,2101,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False
wosar2026_a1_r01,a1,client.e2e_p50,2077,0.00345179,-0.000229988,0.00718938,2.05487,0.0398918,0.0381819,0.12590849375,False,False
wosar2026_a1_r01,a1,client.e2e_p95,2077,0.00260571,-0.0158956,0.0210965,0.352871,0.724185,0.0247946,0.9752358,False,False
wosar2026_a1_r01,a1,client.e2e_p99,2077,-0.00390346,-0.0334871,0.0255054,-0.35291,0.724156,0.0360174,0.9752358,False,False
wosar2026_a1_r01,a1,client.tokens_per_sec,2077,0.145635,-0.0409226,0.329167,2.25544,0.0241057,0.00730148,0.0820677202247191,True,False
wosar2026_a1_r01,a1,client.ttft_p50,2077,-2.21235e-05,-8.05944e-05,3.6753e-05,-0.802087,0.422502,0.0,0.6805733633952256,False,False
wosar2026_a1_r01,a1,client.ttft_p99,2077,0.000200774,-0.000172492,0.000575514,1.06519,0.286792,0.0322456,0.5066937376093295,False,False
wosar2026_a1_r01,a1,gpu.ecc_db_volatile,2101,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False
wosar2026_a1_r01,a1,gpu.ecc_sb_volatile,2101,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False
wosar2026_a1_r01,a1,gpu.gpu_util_percent,2101,0.0,0.0,0.0,-1.6927,0.0905119,0.959985,0.21096235153846157,False,False
wosar2026_a1_r01,a1,gpu.mem_clock_mhz,2101,0.0,0.0,0.0,-1.73512,0.0827198,0.969184,0.20176275059760956,False,False
wosar2026_a1_r01,a1,gpu.mem_util_percent,2101,0.0,0.0,0.0,-1.73436,0.082855,0.959994,0.20176275059760956,False,False
wosar2026_a1_r01,a1,gpu.power_draw_w,2101,0.00548166,-0.0896411,0.0979076,0.712423,0.476203,0.947063,0.7380537544757034,False,False
wosar2026_a1_r01,a1,gpu.sm_clock_mhz,2101,0.0,0.0,0.0,-1.70862,0.0875209,0.95998,0.20799084470588236,False,False
wosar2026_a1_r01,a1,gpu.temperature_c,2101,0.0,0.0,0.0,1.33493,0.181899,0.952443,0.3510534840764331,False,False
wosar2026_a1_r01,a1,gpu.vram_used_bytes,2101,0.0,0.0,0.0,1.85338,0.0638275,0.960275,0.17559013783783783,False,False
wosar2026_a1_r01,a1,proc.cpu_percent,2077,0.0,0.0,0.0,0.52135,0.602123,0.108495,0.8626159290780141,False,False
