cell_id,indicator,n_replicas,k_used_RE,k_used_stouffer,run_ids,slope_per_replica,ci_per_replica,mk_z_per_replica,slope_RE,se_RE,ci_lo_RE,ci_hi_RE,tau2_RE,I2_RE,Q_RE,Q_pvalue_RE,stouffer_z,stouffer_p,slope_pooled,ci_lo_pooled,ci_hi_pooled,pooled_coverage_pct,k_used_pooled,agreement_pct,q_value_cell,bh_reject_cell,degraded_replicas,RE_significant,pooled_ci_excludes_zero,replicas_disagree
a1,client.drop_rate,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",0;0;0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,75.0,3,,1.0,False,True,False,False,False
a1,client.e2e_p50,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0.00345179;0.0011175;-0.00389322,"[-0.000229988,0.00718938];[-0.00273602,0.00497073];[-0.00738142,-0.000397664]",2.055;0.8469;-2.487,0.00018132806553527612,0.0022263698990682033,-0.004182356936638402,0.004545013067708955,1.1335111344859028e-05,76.2576144187411,8.423753346751742,0.014818532681285922,0.23931630538125373,0.8108603228381321,0.0011175,-0.00389322,0.00345179,75.0,3,516.2862856895134,1.0,False,False,False,False,True
a1,client.e2e_p95,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0.00260571;0.00174656;0.00232781,"[-0.0158956,0.0210965];[-0.0175388,0.0210895];[-0.0157254,0.0203115]",0.3529;0.1938;0.3091,0.002241923125573024,0.005475031877875321,-0.008489139355062606,0.012972985606208654,0.0,0.0,0.004100401604732044,0.9979518994237587,0.49405940995525366,0.6212642228000738,0.00232781,0.00174656,0.00260571,75.0,3,3.830946451610546,0.9458052347105601,False,False,False,True,False
a1,client.e2e_p99,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,-0.00390346;-0.0045904;0.00594536,"[-0.0334871,0.0255054];[-0.0357621,0.0266158];[-0.0232435,0.0354123]",-0.3529;-0.3353;0.4624,-0.0006866358751036513,0.008828142726491451,-0.017989795619026895,0.016616523868819594,0.0,0.0,0.3023187799022261,0.859710658498254,-0.1304043732510532,0.896246506783142,-0.00390346,-0.0045904,0.00594536,75.0,3,468.4905408431728,1.0,False,False,False,False,False
a1,client.tokens_per_sec,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0.145635;0.122995;-0.192664,"[-0.0409226,0.329167];[-0.0715789,0.318491];[-0.375973,-0.00817236]",2.255;1.207;-2,0.024232611679534798,0.11057791512372751,-0.19250010196297113,0.24096532532204074,0.027482820680660647,74.93455096898319,7.979110996675679,0.01850793910136856,0.844195790106379,0.3985600066622653,0.122995,-0.192664,0.145635,75.0,3,407.55981908410286,0.6664446013041159,False,False,False,False,False
a1,client.ttft_p50,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,-2.21235e-05;2.49576e-05;-1.71006e-05,"[-8.05944e-05,3.6753e-05];[-3.42229e-05,8.39708e-05];[-7.42024e-05,3.99262e-05]",-0.8021;1.053;-0.5299,-5.126901214486338e-06,1.7160946306596832e-05,-3.876235597541613e-05,2.8508553546443456e-05,0.0,0.0,1.4870672943762404,0.47543093854969176,-0.16100797896998767,0.8720871163259265,-1.71006e-05,-2.21235e-05,2.49576e-05,75.0,3,233.5465085943401,1.0,False,False,False,False,False
a1,client.ttft_p99,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0.000200774;0.000153212;0.000105279,"[-0.000172492,0.000575514];[-0.000211899,0.000519792];[-0.000250795,0.000460281]",1.065;0.9638;1.703,0.0001514735114703139,0.000107485355362298,-5.919778503979018e-05,0.00036214480798041793,0.0,0.0,0.13169039187911152,0.9362757923679563,2.1548421002953635,0.03117419249927198,0.000153212,0.000105279,0.000200774,75.0,3,1.1477178503429852,0.0978390041515613,True,False,False,True,False
a1,gpu.ecc_db_volatile,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",0;0;0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,75.0,3,,1.0,False,True,False,False,False
a1,gpu.ecc_sb_volatile,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",0;0;0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,75.0,3,,1.0,False,True,False,False,False
a1,gpu.gpu_util_percent,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",-1.693;-1.624;1.102,,,,,,,,,-1.278611453152729,0.2010339147762079,0.0,0.0,0.0,75.0,3,,0.4020678295524158,False,True,False,False,False
a1,gpu.mem_clock_mhz,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",-1.735;-1.734;0,,,,,,,,,-2.0028973658511147,0.045188305897555944,0.0,0.0,0.0,75.0,3,,0.12475269198830677,False,True,False,False,False
a1,gpu.mem_util_percent,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",-1.734;-1.734;0,,,,,,,,,-2.00245857964653,0.045235433620678285,0.0,0.0,0.0,75.0,3,,0.12475269198830677,False,True,False,False,False
a1,gpu.power_draw_w,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0.00548166;-0.0291598;-0.0243376,"[-0.0896411,0.0979076];[-0.215149,0.136356];[-0.039439,-0.00918483]",0.7124;-0.9676;-4.51,-0.023621309325939074,0.007592041944908509,-0.038501711537959754,-0.008740907113918396,0.0,0.0,0.38244288463612447,0.82594966768976,-2.7512183702558644,0.00593740490349359,-0.0243376,-0.0291598,0.00548166,75.0,3,3.0323919143396174,0.02124965965460864,True,False,True,False,False
a1,gpu.sm_clock_mhz,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",-1.709;-1.736;0.03742,,,,,,,,,-1.9669224396378016,0.049192153113261965,0.0,0.0,0.0,75.0,3,,0.13380265646807254,False,True,False,False,False
a1,gpu.temperature_c,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",1.335;-1.222;-1.635,,,,,,,,,-0.8790215583438972,0.3793895869143634,0.0,0.0,0.0,75.0,3,,0.6449622977544178,False,True,False,False,False
a1,gpu.vram_used_bytes,3,1,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[-9.42189e+07,0];[0,0]",1.853;-2.043;1.683,0.0,24035433.673469387,-94218900.0,0.0,0.0,0.0,0.0,1.0,0.861943537381268,0.3887185892947217,0.0,0.0,0.0,75.0,3,,0.6553602662489523,False,True,False,False,False
a1,proc.cpu_percent,3,2,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0.00645856;0,"[0,0];[0,0.010084];[-0.00365631,0]",0.5213;2.876;-1.875,0.002784327525897088,0.0031984787968954392,-0.0034846909160179723,0.009053345967812149,1.7112757135339018e-05,82.05000001843368,5.571030646389672,0.018260009732983265,0.8790446523546648,0.37937706559980333,0.0,0.0,0.00645856,75.0,3,99.99999999999999,0.6449622977544178,False,True,False,False,True
a1,proc.involuntary_ctx_switches_rate,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,4.66912e-08;3.50677e-08;-0.0165446,"[5.29545e-09,1.55846e-07];[3.81452e-09,9.2274e-08];[-0.0183862,-0.014697]",4.206;3.405;-6.251,3.801525968310706e-08,3.909500944438077e-07,-7.28246925426756e-07,8.042774447929701e-07,3.0469265077689587e-13,99.35298843049465,309.1134833228735,7.531126725498045e-68,0.7848845969525283,0.4325212338078408,3.50677e-08,-0.0165446,4.66912e-08,75.0,3,7.753622381321981,0.711567191103222,False,False,False,False,True
a1,proc.io_read_bytes_rate,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",0;0;0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,75.0,3,,1.0,False,True,False,False,False
a1,proc.io_read_count_rate,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,-8.03101e-06;-6.92282e-05;4.10827e-06,"[-0.00367832,8.67658e-06];[-0.00642598,-2.47376e-06];[-1.86865e-05,0.000113053]",-0.8067;-2.178;0.4305,4.0620037618417075e-06,3.3578530781411684e-05,-6.175191656972519e-05,6.987592409340861e-05,0.0,0.0,0.002167617084673676,0.9989167785660179,-1.474658242609566,0.14030444785726337,-8.03101e-06,-6.92282e-05,4.10827e-06,75.0,3,297.71055052786926,0.2950732717822859,False,False,False,False,False
a1,proc.io_write_bytes_rate,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",0;0;0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,75.0,3,,1.0,False,True,False,False,False
a1,proc.io_write_count_rate,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0.0536858;0.1165;-0.128776,"[-0.10787,0.214061];[-0.0583877,0.291045];[-0.296357,0.0394469]",0.6789;1.14;-1.265,0.013058482626106123,0.07273792833361016,-0.12950785690776978,0.15562482215998202,0.008544552025121829,53.836904374057326,4.332465084676953,0.11460858757054174,0.31964073893252937,0.7492406880256504,0.0536858,-0.128776,0.1165,75.0,3,311.1182098038939,1.0,False,False,False,False,False
a1,proc.num_fds,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",1.712;0.4183;-1.526,,,,,,,,,0.3490983043671223,0.7270155095143296,0.0,0.0,0.0,75.0,3,,1.0,False,True,False,False,False
a1,proc.num_threads,3,0,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,0];[0,0];[0,0]",0;-1.73;0,,,,,,,,,-0.999018038292269,0.3177859531545957,0.0,0.0,0.0,75.0,3,,0.5637246473351089,False,True,False,False,False
a1,proc.pss_bytes,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,12874.2;13165.7;12225.8,"[9511.86,15964.4];[12897.8,13450.3];[0,20658.9]",6.289;3.619;3.313,13162.91299222193,140.38019574967805,12887.767808552562,13438.0581758913,0.0,0.0,0.06277357654940023,0.9691006638016817,7.633546280641783,2.283826666856835e-14,12874.2,12225.8,13165.7,75.0,3,2.1933822125279785,2.751861548938333e-13,True,False,True,True,False
a1,proc.rss_bytes,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,12874.2;13156.3;12215.5,"[9511.86,15964.4];[0,17956.3];[0,20653.2]",6.289;3.61;3.309,12851.48369748657,1486.1705412966485,9938.589436545139,15764.377958428002,0.0,0.0,0.019189526976444046,0.9904511193925887,7.625648128959269,2.4281131314161763e-14,12874.2,12215.5,13156.3,75.0,3,0.1767601550774502,2.751861548938333e-13,True,False,True,True,False
a1,proc.uss_bytes,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,12874.2;13165.7;12215.5,"[9511.86,15964.4];[12901.5,13444.2];[0,20653.2]",6.289;3.619;3.309,13163.002818495379,137.90952324669158,12892.700152931864,13433.305484058894,0.0,0.0,0.06350411319639834,0.968746746668207,7.631034806970809,2.3287678783296273e-14,12874.2,12215.5,13165.7,75.0,3,2.194049659319228,2.751861548938333e-13,True,False,True,True,False
a1,proc.vms_bytes,3,1,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;0;0,"[0,53453.3];[0,0];[0,0]",1.877;1.808;1.734,0.0,13636.045918367348,0.0,53453.3,0.0,0.0,0.0,1.0,3.128459036144366,0.001757255037405423,0.0,0.0,0.0,75.0,3,,0.00651781868419466,True,True,False,False,False
a1,proc.voluntary_ctx_switches_rate,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,-1.07943e-05;-0.00435805;0.00616968,"[-0.00440409,1.5086e-05];[-0.00861869,-9.72785e-06];[3.56653e-05,0.0101973]",-0.8966;-2.138;2.984,0.00039238178741529163,0.0024456493418118486,-0.004401090922535931,0.0051858544973665145,1.3966452081087907e-05,79.17205666638179,9.602484354620918,0.008219530590605009,-0.028915433531824214,0.9769320365903505,-1.07943e-05,-0.00435805,0.00616968,75.0,3,102.75096866016757,1.0,False,False,False,False,True
a1,system.cpu_percent_total,3,3,3,wosar2026_a1_r01;wosar2026_a1_r02;wosar2026_a1_r03,0;-0.00242424;0.00236967,"[-0.00337838,0.00490998];[-0.00853728,0];[0,0.00505334]",0.7521;-1.616;4.502,0.000405934150793774,0.0014519270900230448,-0.002439842945651394,0.0032517112472389416,3.0393566153097345e-06,47.51219516969848,3.8104089253993494,0.1487922170534101,2.10069876940103,0.03566741742667023,0.0,-0.00242424,0.00236967,75.0,3,100.0,0.10859930082150338,False,False,False,False,False
