run_id,cell_id,n_samples,rss_vms_corr,K_raw,K_raw_ci_lo,K_raw_ci_hi,K_trim,K_trim_ci_lo,K_trim_ci_hi,steps_per_h_1mb,mean_top1_step_mb,K_raw_dVMS,K_raw_dVMS_ci_lo,K_raw_dVMS_ci_hi,K_trim_dVMS,K_trim_dVMS_ci_lo,K_trim_dVMS_ci_hi,steps_per_h_1mb_dVMS,mean_top1_step_mb_dVMS,class,notes
wosar2026_a1_r01,A1,24911,0.335159,5306.451996,2573.410628,10955.430703,0.000000,nan,nan,0.000000,0.093750,24911.000000,8300.332932,24911.000000,0.000000,nan,nan,0.000000,1.000000,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_a1_r02,A1,24365,0.211728,9068.520241,3203.567675,15723.730664,0.000000,nan,nan,0.000000,0.167969,24365.000000,6087.499569,24365.000000,0.000000,nan,nan,0.000000,1.000000,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_a1_r03,A1,25200,0.343178,8448.966178,2849.013986,14901.318014,0.000000,nan,nan,0.000000,0.277344,25200.000000,6296.249583,25200.000000,0.000000,nan,nan,0.000000,1.000000,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_a2_r01,A2,24903,0.551701,3177.775331,799.705818,4538.710830,0.000000,nan,nan,0.000000,0.051800,3035.148538,-0.054804,3074.012015,0.000000,nan,nan,0.000000,0.062500,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_a2_r02,A2,24346,0.352700,7227.558402,1000.870817,11069.065345,0.000000,nan,nan,0.000000,0.054521,2842.831334,-0.198836,2896.735598,0.000000,nan,nan,0.000000,0.060014,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_a2_r03,A2,25200,0.574956,7802.928623,-0.459629,8264.365662,0.000000,nan,nan,0.000000,0.015078,2451.624209,-0.243949,2877.489300,0.000000,nan,nan,0.000000,0.037024,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_e1_r01,E1,25199,0.643399,4052.591728,2281.934828,9956.491616,0.000000,nan,nan,0.000000,0.312500,12596.999682,5035.799587,25199.000000,0.000000,nan,nan,0.000000,1.000000,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_e1_r02,E1,25200,0.308268,9526.556606,3880.218562,19782.195110,0.000000,nan,nan,0.000000,0.519531,12597.499683,5035.999587,25200.000000,0.000000,nan,nan,0.000000,1.000000,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_e1_r03,E1,25199,0.572417,7264.932818,3376.094783,16524.059296,0.000000,nan,nan,0.000000,0.492188,12596.999682,4195.666270,25199.000000,0.000000,nan,nan,0.000000,1.000000,continuous drift,RSS_low_step_operational_drift;VMS_low_step_operational_drift
wosar2026_e2_r01,E2,25200,0.822725,373.721408,251.748108,554.079035,284.070235,236.325956,367.130253,0.228571,1.733073,291.119447,228.035542,369.289355,239.352496,203.554250,297.019510,0.085714,2.000000,mmap-style step-wise,
wosar2026_e2_r02,E2,25200,0.833370,876.540573,468.398502,1415.678948,648.613514,464.573920,907.009336,0.085714,1.818359,567.464617,397.074317,816.090092,491.214579,384.745487,1395.277778,0.028571,2.000000,mmap-style step-wise,
wosar2026_e2_r03,E2,25200,0.549018,6951.258519,1814.736318,11150.157894,6313.960725,2801.533150,18041.135269,0.085714,2.796875,2097.360880,1257.228225,4197.833095,0.000000,nan,nan,0.000000,1.000000,border,VMS_low_step_operational_drift
wosar2026_e2_r99,E2,3599,0.765828,1205.529239,379.029054,2301.275049,460.046293,286.345738,1008.987748,0.400111,3.722656,1106.571258,274.216928,1809.176232,397.417956,254.062208,1796.997775,0.200056,3.000000,border,
wosar2026_e3_r01,E3,25200,0.371134,594.859582,1.258486,1067.514633,1.133559,1.047182,1.224040,0.028571,0.210449,12597.480912,1.153351,25199.900754,1.161631,1.075473,1.257173,0.057143,55.784022,continuous drift,
wosar2026_e3_r02,E3,25199,0.238207,161.021901,4.866764,293.296964,1.058556,0.974163,1.149900,0.057145,0.255249,5185.552577,2622.480200,24853.666279,1.071371,0.988005,1.162147,0.171435,132.436996,continuous drift,
wosar2026_e3_r03,E3,25198,0.266172,613.303232,2.354760,1098.794295,1.149482,1.056895,1.242651,0.028574,0.227697,6368.910607,2789.130321,25197.868409,1.167494,1.073358,1.258357,0.114295,102.242692,continuous drift,
wosar2026_e3b_r01,E3b,24918,0.362580,1044.510029,19.112790,1318.818109,2.176928,2.067681,2.749760,0.086684,0.443594,24917.905986,2.175668,24917.921852,2.186528,2.059024,2.331841,0.028895,34.598281,continuous drift,
wosar2026_e3b_r02,E3b,24375,0.254731,301.113847,14.924580,494.473351,2.224099,2.096484,2.384513,0.059077,0.344401,3615.794484,1951.893931,8637.033859,2.223542,2.091436,2.363815,0.206769,228.147461,continuous drift,
wosar2026_e3b_r03,E3b,25199,0.256433,519.958588,5.486200,777.386859,2.102804,1.969907,2.443703,0.057145,0.336689,4310.319934,2335.422905,12769.595171,2.097539,1.972763,2.216767,0.171435,188.302188,continuous drift,
